name,category,url
Varsoli Beach,beach,https://drive.google.com/uc?id=18OT-vR7O7fRCXNjsBApVqWepqkYGsFpL
Varsoli Beach,beach,https://drive.google.com/uc?id=1W7zzWtFQnDwXu3_QYGfg7TKiMNyC63Jh
Gokarna Beach,beach,https://drive.google.com/uc?id=1J7yEgejOdUlTXwAi9ravs6gKNwCBJlUb
Gokarna Beach,beach,https://drive.google.com/uc?id=10NdezfpboyhGIs97wMfx8L4I51NlG_xq
Gokarna Beach,beach,https://drive.google.com/uc?id=1NbS9d4kR3oKszTtc-K0GiRmYLjwNuQL6
Gokarna Beach,beach,https://drive.google.com/uc?id=1EY8YBx8SCSC1ec4FgH2toNPo7SGAu0wR
Gokarna Beach,beach,https://drive.google.com/uc?id=1WgTbxFbNdqeW2zE4n83-PtMMwxPYzdKa
Gokarna Beach,beach,https://drive.google.com/uc?id=1vFv-iwzhNMAAxjHXEoc3VRmBqKecByk_
Half Moon Beach,beach,https://drive.google.com/uc?id=11cMs9fmiWMMgCwo5Had2pDSe5trKYXq6
Half Moon Beach,beach,https://drive.google.com/uc?id=1FHI-L38-7uvbOOUX75E-yFsI-r_th4fm
Half Moon Beach,beach,https://drive.google.com/uc?id=1d33U5E_bwu8mJSUSE5CW7kLp2ttOtGDR
Half Moon Beach,beach,https://drive.google.com/uc?id=1SmPSAftHxqOJHfdjFMoDi_moN7hMBhli
Half Moon Beach,beach,https://drive.google.com/uc?id=10seUcpoV-ImHp8jaRaGAshKaefpM2s38
Half Moon Beach,beach,https://drive.google.com/uc?id=1M9fIaAa6Qs05VxecSrWA67o4RFHaokqQ
Om Beach,beach,https://drive.google.com/uc?id=1JRmSK9ehIvlUhpDQo-nQLOnQvgaoqgml
Om Beach,beach,https://drive.google.com/uc?id=16yB3xJoNxML_95Pbd7p0l-z1iEXAdjsm
Om Beach,beach,https://drive.google.com/uc?id=1NX5fNTAia_na28Tm5wsJpahDAyOABuKx
Om Beach,beach,https://drive.google.com/uc?id=1C678HCL5WkyG0dh9r8TK-QI7cumh5tw2
Om Beach,beach,https://drive.google.com/uc?id=1lN6itkTZPxh5sIKNTYfBRHtHrIUdUWSh
Om Beach,beach,https://drive.google.com/uc?id=1d9s1vcT24EsceebxpCfNoADEU0QWTxEK
Paradise Beach,beach,https://drive.google.com/uc?id=1kFLCOgw2mAiDwf7b62M8QzO9X-HN2ViV
Paradise Beach,beach,https://drive.google.com/uc?id=1Vxu9QwlcN2EDDxOM48Thzl_HggU50hyQ
Paradise Beach,beach,https://drive.google.com/uc?id=1YMEuF4AI27VGwSyNHC7JYSsbt_jfI94O
